,HVPI,IP_Verarbeitendes_Gew,IP_Nahrungs_Genuss,IP_Textil_Leder,IP_Holz_Papier_Druck,IP_Mineraloel,IP_Chemie,IP_Pharma,IP_Metall_Grundstoffe,IP_Metallerzeugnisse,IP_DV_Elektronik,IP_Elektrisch,IP_Maschinenbau,IP_Kfz,IP_Sonstiger_Fahrzeug,IP_Energie,BS_Konjunkturklima,BS_Produktionserwart,BS_Produktionstendenz,BS_Absatzpreise,BS_Auftragsbestand,PPI_Gesamt,PPI_Konsumgueter,PPI_Vorleistungen,ALQ_Gesamt,ALQ_Maenner,ALQ_Frauen,ALQ_Kern_Ges,ALQ_Kern_M,ALQ_Kern_F,LCI_Lohnkosten_BN,LCI_Loehne_BN,LCI_Lohnkosten_Ind,LCI_Loehne_Ind
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,1.273885350318471,12.936046511627918,6.362545018007193,3.0287733467945444,5.073280721533258,0.4784688995215225,6.236323851203496,16.07843137254903,16.799091940976176,14.947683109118092,27.0,18.89985895627644,13.666666666666671,24.398625429553267,7.878787878787885,-2.2108843537414935,-72.54901960784314,-59.01639344262295,358.33333333333337,-31.32530120481928,-71.08433734939759,4.49293966623876,2.595797280593315,3.510895883777243,-6.097560975609751,-3.8461538461538436,-8.139534883720923,-6.172839506172845,-3.9473684210526327,-7.954545454545469,3.747870528109032,3.690685413005279,4.4673539518900185,4.217926186291732
2001-02-01,1.781170483460559,1.5544041450777257,-1.9540229885057547,-2.3178807947019875,-5.601659751037347,-5.767250257466527,-3.7234042553191515,3.7701974865349985,2.6068821689259725,2.4193548387096753,13.943355119825696,4.884004884004889,4.545454545454519,5.56328233657859,0.9363295880149725,-7.011070110701112,51.61290322580645,-10.909090909090901,-108.87096774193547,18.8405797101449,-51.8796992481203,4.615384615384599,2.716049382716057,3.1363088057901,-4.93827160493826,-3.8461538461538436,-8.139534883720923,-5.000000000000004,-2.6666666666666727,-8.045977011494243,3.415154749199556,3.2822757111597323,4.00855157669695,3.6393264530146574
2001-03-01,1.781170483460559,2.5551684088269466,-2.063983488132093,2.1789522484932933,-3.142857142857136,-3.675048355899435,0.3024193548387011,0.33670033670034627,1.412429378531077,4.358353510895885,13.904761904761909,5.537098560354381,4.311377245508985,6.700379266750955,1.0221465076660996,-4.636363636363628,393.33333333333337,58.974358974358985,-96.0,100.0,12.643678160919558,4.865556978233054,3.580246913580254,2.6410564225690214,-6.172839506172845,-2.5974025974025983,-8.235294117647063,-5.000000000000004,-2.6666666666666727,-6.976744186046513,3.120281831907401,2.924576706003057,3.607214428857719,3.1392405063291218
