,HVPI,IP_Verarbeitendes_Gew,IP_Nahrungs_Genuss,IP_Textil_Leder,IP_Holz_Papier_Druck,IP_Mineraloel,IP_Chemie,IP_Pharma,IP_Metall_Grundstoffe,IP_Metallerzeugnisse,IP_DV_Elektronik,IP_Elektrisch,IP_Maschinenbau,IP_Kfz,IP_Sonstiger_Fahrzeug,IP_Energie,BS_Konjunkturklima,BS_Produktionserwart,BS_Produktionstendenz,BS_Absatzpreise,BS_Auftragsbestand,PPI_Gesamt,PPI_Konsumgueter,PPI_Vorleistungen,ALQ_Gesamt,ALQ_Maenner,ALQ_Frauen,ALQ_Kern_Ges,ALQ_Kern_M,ALQ_Kern_F,LCI_Lohnkosten_BN,LCI_Loehne_BN,LCI_Lohnkosten_Ind,LCI_Loehne_Ind
2000-01-01,78.5,68.8,83.3,198.1,88.7,104.5,91.4,51.0,88.1,66.9,40.0,70.9,60.0,58.2,49.5,117.6,-5.1,-6.1,1.2,8.3,-16.6,77.9,80.9,82.6,8.2,7.8,8.6,8.1,7.6,8.8,58.7,56.9,58.2,56.9
2000-02-01,78.6,77.2,87.0,211.4,96.4,97.1,94.0,55.7,95.9,74.4,45.9,81.9,70.4,71.9,53.4,108.4,-3.1,-5.5,12.4,6.9,-13.3,78.0,81.0,82.9,8.1,7.8,8.6,8.0,7.5,8.7,62.46666666666667,60.93333333333333,62.36666666666667,61.36666666666667
2000-03-01,78.6,86.1,96.9,215.7,105.0,103.4,99.2,59.4,106.2,82.6,52.5,90.3,83.5,79.1,58.7,110.0,-1.5,-3.9,10.0,5.4,-8.7,78.1,81.0,83.3,8.1,7.7,8.5,8.0,7.5,8.6,66.23333333333333,64.96666666666667,66.53333333333333,65.83333333333333
2000-04-01,78.6,74.0,89.5,160.5,93.0,101.2,92.8,50.4,89.2,71.0,43.6,72.9,70.3,65.4,50.7,96.4,-1.2,-2.8,-0.7,3.2,-10.1,78.3,81.2,83.9,8.0,7.7,8.5,7.9,7.4,8.6,70.0,69.0,70.7,70.3
2000-05-01,78.4,85.9,100.2,196.0,105.3,103.9,102.3,60.4,103.9,83.4,50.2,88.4,80.8,79.8,56.6,92.4,0.1,-2.7,14.0,4.1,-6.9,78.7,81.6,84.2,8.0,7.7,8.4,7.9,7.4,8.5,67.16666666666667,66.06666666666666,67.83333333333334,67.3
2000-06-01,78.9,79.0,93.5,182.9,97.3,93.2,96.3,52.9,93.3,75.3,50.4,78.8,79.1,68.8,51.3,85.3,-0.5,-2.1,-1.5,5.3,-6.3,79.0,81.7,84.3,8.0,7.7,8.3,7.9,7.4,8.4,64.33333333333333,63.13333333333333,64.96666666666667,64.3
2000-07-01,79.2,78.1,92.0,198.2,95.8,105.8,95.4,56.4,90.7,76.0,49.6,79.7,74.6,68.0,50.3,91.6,0.4,-1.3,3.7,5.3,-5.7,79.5,81.9,84.6,7.9,7.6,8.3,7.8,7.4,8.4,61.5,60.2,62.1,61.3
2000-08-01,79.0,76.9,97.5,193.5,98.2,111.4,94.8,59.6,93.6,76.5,49.3,77.8,71.9,58.8,48.8,88.8,1.7,-1.0,3.2,4.2,-3.2,79.6,82.0,84.8,7.9,7.6,8.2,7.8,7.4,8.3,64.3,62.86666666666667,64.96666666666667,63.96666666666666
2000-09-01,79.2,85.2,95.3,213.6,106.0,99.4,93.2,60.6,99.0,82.7,58.3,92.2,86.2,71.6,52.5,93.2,0.6,0.3,8.1,3.4,-3.3,80.4,82.1,85.2,7.9,7.6,8.2,7.8,7.4,8.3,67.10000000000001,65.53333333333333,67.83333333333334,66.63333333333333
2000-10-01,79.1,84.6,102.4,196.5,107.5,104.6,98.2,58.3,99.1,82.2,56.5,88.5,79.0,73.4,53.7,101.7,1.5,1.4,4.2,3.0,-2.4,80.7,82.1,85.4,7.8,7.6,8.1,7.7,7.4,8.2,69.9,68.2,70.7,69.3
2000-11-01,79.1,89.0,105.9,196.8,110.0,101.3,98.2,62.8,105.0,86.5,60.8,93.8,85.5,80.6,58.2,107.2,0.5,0.8,5.4,4.6,-1.7,81.0,82.3,85.4,7.8,7.6,8.0,7.7,7.3,8.2,66.9,65.13333333333334,67.4,65.96666666666667
2000-12-01,80.0,78.3,92.8,159.4,94.0,103.9,85.4,47.0,77.4,71.8,56.6,86.4,92.5,64.0,50.5,110.0,-0.7,0.6,-2.3,5.4,-3.8,80.6,82.6,85.5,7.7,7.5,8.0,7.7,7.3,8.1,63.9,62.06666666666667,64.1,62.63333333333333
2001-01-01,79.5,77.7,88.6,204.1,93.2,105.0,97.1,59.2,102.9,76.9,50.8,84.3,68.2,72.4,53.4,115.0,-1.4,-2.5,5.5,5.7,-4.8,81.4,83.0,85.5,7.7,7.5,7.9,7.6,7.3,8.1,60.9,59.0,60.8,59.3
2001-02-01,80.0,78.4,85.3,206.5,91.0,91.5,90.5,57.8,98.4,76.2,52.3,85.9,73.6,75.9,53.9,100.8,-4.7,-4.9,-1.1,8.2,-6.4,81.6,83.2,85.5,7.7,7.5,7.9,7.6,7.3,8.0,64.6,62.93333333333333,64.86666666666666,63.6
2001-03-01,80.0,88.3,94.9,220.4,101.7,99.6,99.5,59.6,107.7,86.2,59.8,95.3,87.1,84.4,59.3,104.9,-7.4,-6.2,0.4,10.8,-9.8,81.9,83.9,85.5,7.6,7.5,7.8,7.6,7.3,8.0,68.3,66.86666666666666,68.93333333333334,67.9
2001-04-01,80.3,77.7,89.8,164.0,89.8,96.2,93.7,57.0,96.4,76.1,49.9,79.0,75.4,71.6,54.0,98.0,-11.6,-9.2,-13.3,11.0,-16.4,82.2,84.1,85.5,7.6,7.5,7.8,7.6,7.3,8.0,72.0,70.8,73.0,72.2
2001-05-01,80.7,83.3,97.3,175.4,97.2,101.3,95.1,60.1,101.4,82.8,51.5,87.8,80.6,77.4,56.9,92.6,-12.7,-10.3,-3.3,12.7,-16.4,82.3,84.5,85.4,7.7,7.6,7.8,7.6,7.4,8.0,69.06666666666666,67.8,69.9,69.03333333333333
2001-06-01,80.8,81.3,91.1,179.4,94.0,99.0,92.5,59.7,96.9,80.8,51.2,86.2,82.8,72.7,55.9,83.5,-15.6,-13.3,-14.8,15.2,-21.1,82.4,84.6,85.3,7.7,7.6,7.8,7.7,7.4,8.0,66.13333333333334,64.8,66.8,65.86666666666667
2001-07-01,80.9,79.6,93.9,193.9,92.5,105.7,93.5,64.9,93.3,79.5,49.7,85.1,78.2,68.0,54.8,88.3,-13.8,-16.3,-13.7,14.1,-21.2,82.0,84.5,84.8,7.8,7.7,7.9,7.7,7.5,8.0,63.2,61.8,63.7,62.7
2001-08-01,80.7,76.9,97.9,185.5,94.6,104.2,89.0,62.3,91.3,77.4,47.1,80.8,72.4,63.1,54.3,87.8,-16.2,-17.0,-12.4,15.7,-23.9,81.9,84.5,84.7,7.8,7.8,7.9,7.8,7.5,8.1,65.96666666666667,64.53333333333333,66.60000000000001,65.5
2001-09-01,80.6,81.1,91.8,183.5,97.8,92.4,86.2,57.4,97.0,79.1,48.7,88.6,82.6,72.5,55.4,90.7,-20.6,-20.3,-15.4,16.4,-28.0,82.0,84.5,84.6,7.9,7.9,7.9,7.8,7.6,8.1,68.73333333333333,67.26666666666667,69.5,68.3
2001-10-01,80.4,84.8,104.1,177.6,106.3,94.2,93.0,63.6,100.3,84.6,49.6,89.2,79.6,78.5,60.4,98.7,-23.4,-21.8,-16.1,18.0,-32.7,81.3,84.6,84.5,8.0,8.0,8.0,7.9,7.7,8.1,71.5,70.0,72.4,71.1
2001-11-01,80.2,84.7,102.5,178.0,102.7,99.6,89.6,62.3,95.2,83.6,53.3,93.2,81.7,77.4,63.7,107.3,-23.3,-20.5,-19.9,18.7,-33.8,81.0,84.4,84.3,8.0,8.0,8.0,7.9,7.7,8.2,68.76666666666667,67.06666666666666,69.36666666666667,67.89999999999999
2001-12-01,81.1,70.7,88.1,136.0,86.7,106.4,74.1,44.6,69.8,64.2,45.4,74.1,87.2,55.7,51.9,112.4,-19.5,-21.1,-17.9,16.5,-33.9,80.7,84.3,84.1,8.1,8.1,8.0,8.0,7.8,8.2,66.03333333333333,64.13333333333334,66.33333333333333,64.7
2002-01-01,81.1,74.7,90.4,187.9,90.3,99.0,94.4,60.5,94.7,74.3,43.9,79.3,66.7,68.9,57.6,114.7,-21.7,-24.2,-25.2,17.4,-34.1,81.3,85.0,84.1,8.1,8.2,8.1,8.0,7.8,8.2,63.3,61.2,63.3,61.5
2002-02-01,81.4,74.6,84.8,190.7,88.1,91.7,92.7,58.0,95.7,72.4,44.4,78.5,69.3,69.6,58.4,99.4,-19.0,-22.1,-23.1,15.2,-33.7,81.3,84.8,83.8,8.2,8.2,8.1,8.1,7.9,8.3,66.5,64.66666666666667,66.73333333333333,65.23333333333333
2002-03-01,81.5,79.9,91.5,171.1,92.7,101.4,100.6,60.0,97.8,76.9,48.4,82.2,77.3,74.6,59.7,102.6,-16.5,-22.6,-16.6,15.9,-34.6,81.6,84.7,84.1,8.2,8.3,8.2,8.1,7.9,8.3,69.7,68.13333333333333,70.16666666666666,68.96666666666667
2002-04-01,81.5,82.1,93.8,158.7,97.5,100.2,98.2,62.7,102.5,81.3,47.9,82.9,79.4,77.9,61.8,99.2,-16.0,-19.6,-10.0,15.5,-34.6,81.4,84.9,84.2,8.3,8.4,8.2,8.2,8.0,8.3,72.9,71.6,73.6,72.7
2002-05-01,81.6,75.9,92.7,145.2,90.6,97.7,97.0,58.8,95.4,73.9,44.1,74.6,71.4,69.2,57.3,93.2,-14.6,-20.3,-8.3,14.9,-31.3,81.4,84.9,84.2,8.4,8.5,8.3,8.2,8.1,8.4,70.16666666666667,68.8,70.76666666666667,69.76666666666667
2002-06-01,81.5,82.2,91.1,166.6,94.3,96.3,95.3,62.2,100.4,81.6,47.4,85.9,83.5,78.9,59.8,85.7,-14.9,-19.1,-9.7,14.9,-32.6,81.4,84.7,84.5,8.5,8.6,8.4,8.3,8.2,8.5,67.43333333333334,66.0,67.93333333333332,66.83333333333333
2002-07-01,81.8,82.4,97.2,182.2,94.5,102.8,99.7,65.0,100.8,83.1,47.8,86.2,80.9,73.4,60.0,89.4,-15.1,-18.2,-5.1,13.7,-32.1,81.2,84.6,84.6,8.6,8.8,8.4,8.5,8.4,8.6,64.7,63.2,65.1,63.9
2002-08-01,81.6,74.2,94.0,159.3,89.0,103.6,93.7,59.4,90.1,73.5,44.5,77.7,67.0,63.7,54.7,87.7,-16.3,-18.7,-6.6,13.9,-33.6,81.1,84.7,84.6,8.7,8.9,8.5,8.6,8.5,8.6,67.53333333333333,66.03333333333333,67.96666666666667,66.8
2002-09-01,81.5,83.7,95.8,175.6,98.5,98.4,95.1,60.2,101.0,82.9,48.8,91.2,82.1,78.2,62.2,91.6,-16.8,-18.8,-15.0,15.5,-33.7,81.2,84.6,84.6,8.9,9.0,8.6,8.7,8.7,8.7,70.36666666666667,68.86666666666667,70.83333333333333,69.69999999999999
2002-10-01,81.4,85.2,105.6,160.8,103.3,96.0,97.8,63.9,103.3,83.6,51.8,90.9,78.3,79.5,63.6,104.5,-16.0,-20.4,-9.3,14.2,-31.8,81.4,84.7,84.6,9.0,9.2,8.7,8.8,8.8,8.8,73.2,71.7,73.7,72.6
